year,game_order,date,opponent,site_text,home_away_guess,result,team_score,opp_score,notes
1895,1,December 14,Oklahoma City team,University campus,unknown,L,0,34,
1896,1,November 13,Norman High School,High school field,unknown,W,12,0,
1896,2,November 26,Norman High School,"Vacant field west of campus, south of Boyd Street",unknown,W,16,4,
1897,1,November 25,Oklahoma City Town Team,"Norman, Oklahoma Territory",home,W,16,0,
1897,2,December 31,,Fair grounds,unknown,W,16,8,
1898,1,November 4,Arkansas City Tigers,Athletic Park,unknown,W,5,0,
1898,2,November 24,Fort Worth University,"Norman, Oklahoma Territory",home,W,24,0,
1899,1,October 20,,"Norman, Oklahoma Territory",home,W,39,6,
1899,2,October 28,Arkansas,"Shawnee, Oklahoma Territory",unknown,W,11,5,
1899,3,November 30,Arkansas City Town Team,University campus,unknown,L,11,17,
1900,1,October 10,Texas,Varsity Athletic Field,unknown,L,2,28,
1900,2,October 13,,"Norman, Oklahoma Territory",home,W,27,0,
1900,3,November 2,Fort Reno,"Norman, Oklahoma Territory",home,W,79,0,
1900,4,November 17,,"Kingfisher, Oklahoma Territory",unknown,T,0,0,
1900,5,November 29,Arkansas City Town Team,"Arkansas City, KS",unknown,W,10,0,
1901,1,October 19,Texas,Varsity Athletic Field,unknown,L,6,12,
1901,2,October 21,Baylor,"Waco, TX",unknown,W,17,6,
1901,3,November 1,,University grounds,unknown,W,28,6,
1901,4,November 8,,University grounds,unknown,W,42,0,
1901,5,November 25,Texas,University grounds,unknown,L,0,11,
1902,1,September 29,Guthrie Athletic Club,"Norman, Oklahoma Territory",home,W,62,0,
1902,2,October 2,Texas,Varsity Athletic Field,unknown,L,6,22,
1902,3,October 4,Dallas Athletic Club,"Dallas, TX",unknown,L,6,11,
1902,4,October 13,Arkansas,University campus,unknown,W,28,0,
1902,5,October 25,Oklahoma City Athletic Association,"Norman, Oklahoma Territory",home,W,30,0,
1902,6,November 3,,"Kingfisher, Oklahoma Territory",unknown,W,15,0,
1902,7,November 12,Missouri,Rollins Field,unknown,L,5,22,
1902,8,November 14,,"Emporia, KS",unknown,W,6,5,
1902,9,November 17,Kingfisher,"Norman, Oklahoma Territory",home,W,17,0,
1903,1,October 3,Chilocco,"Norman, Oklahoma Territory",home,W,38,5,
1903,2,October 9,,"Kingfisher, Oklahoma Territory",unknown,T,0,0,
1903,3,October 17,Texas,Varsity Athletic Field,unknown,T,6,6,
1903,4,October 19,Texas A&M,"Bryan, TX",unknown,W,6,0,
1903,5,October 26,Fairmount,"Oklahoma City, Oklahoma Territory",unknown,W,11,5,
1903,6,October 31,,"Norman, Oklahoma Territory",home,T,6,6,
1903,7,November 7,Kansas,McCook Field,unknown,L,5,17,
1903,8,November 13,Texas,Colcord Park,unknown,L,5,11,
1903,9,November 19,Arkansas,The Hill,unknown,L,0,12,
1903,10,November 20,,"Joplin, MO",unknown,W,12,6,
1903,11,November 26,,Colcord Park,unknown,L,10,12,
1903,12,December 4,Lawton Town Team,"Lawton, Oklahoma Territory",unknown,W,27,5,
1904,1,October 10,,"Norman, Oklahoma Territory",home,T,0,0,
1904,2,October 14,Pauls Valley Town Team,"Pauls Valley, Oklahoma Territory",unknown,W,33,0,
1904,3,October 21,Kansas,"Norman, Oklahoma Territory",home,L,0,16,
1904,4,October 31,Lawton Town Team,"Lawton, Oklahoma Territory",unknown,W,6,0,
1904,5,November 5,Oklahoma A&M,Island Park,unknown,W,75,0,
1904,6,November 12,Texas,Clark Field,unknown,L,10,40,
1904,7,November 18,Oklahoma State Military Institute,"Norman, Oklahoma Territory",home,W,71,4,
1904,8,November 24,Bethany (KS),Colcord Park,unknown,L,9,36,
1905,1,September 30,,Boyd Field,unknown,W,28,0,
1905,2,October 16,Haskell,Boyd Field,unknown,W,18,12,
1905,3,October 21,Kansas,McCook Field,unknown,L,0,34,
1905,4,October 25,,Association Park,unknown,W,33,0,
1905,5,October 28,Washburn,"Topeka, KS",unknown,L,6,9,
1905,6,November 3,Texas,Colcord Park,unknown,W,2,0,
1905,7,November 11,,"Kingfisher, Oklahoma Territory",unknown,W,55,0,
1905,8,November 18,Central State (OK),"Edmond, Oklahoma Territory",unknown,W,58,0,
1905,9,November 30,,Sportsmans' Park,unknown,W,29,0,
1906,1,September 28,,Boyd Field,unknown,W,12,0,
1906,2,October 5,,Boyd Field,unknown,W,11,6,
1906,3,October 12,Oklahoma A&M,"Stillwater, Oklahoma Territory",unknown,W,23,0,
1906,4,October 20,Kansas,McCook Field,unknown,L,4,20,
1906,5,November 2,Texas,Sportsman's Park,unknown,L,9,10,
1906,6,November 9,Central State Normal,"Edmond, Oklahoma Territory",unknown,W,17,0,
1906,7,November 16,Pawahuska Town,Boyd Field,unknown,T,0,0,
1906,8,November 23,Sulphur Town,Boyd Field,unknown,W,48,0,
1906,9,November 29,,"Oklahoma City, Oklahoma Territory",unknown,T,0,0,
1907,1,October 4,,Boyd Field,unknown,W,32,0,
1907,2,October 11,,Arkansas City field,unknown,W,43,0,
1907,3,October 19,Kansas,Boyd Field,unknown,L,0,15,
1907,4,October 25,,"Oklahoma City, Oklahoma Territory",unknown,W,29,0,
1907,5,November 9,Oklahoma A&M,Boyd Field,unknown,W,67,0,
1907,6,November 12,Texas A&M,Kyle Field,unknown,L,0,19,
1907,7,November 15,Texas,Clark Field,unknown,L,10,29,
1907,8,November 28,,Boyd Field,unknown,L,0,12,
1908,1,September 25,,"Edmond, OK",unknown,W,51,5,
1908,2,October 3,Oklahoma A&M,"Stillwater, OK",unknown,W,18,0,
1908,3,October 10,,Boyd Field,unknown,W,51,0,
1908,4,October 17,Kansas,McCook Field,unknown,L,0,11,
1908,5,October 23,Kansas State,"Manhattan, KS",unknown,W,33,4,
1908,6,October 30,Arkansas,Boyd Field,unknown,W,27,5,
1908,7,November 5,,Boyd Field,unknown,W,24,0,
1908,8,November 13,Texas,Boyd Field,unknown,W,50,0,
1908,9,November 19,Fairmount,Boyd Field,unknown,W,12,4,
1908,10,November 24,,"Topeka, KS",unknown,T,6,6,
1909,1,September 23,,Boyd Field,unknown,W,55,0,
1909,2,October 2,,Boyd Field,unknown,W,46,5,
1909,3,October 9,Kansas,McCook Field,unknown,L,0,11,
1909,4,October 13,,Boyd Field,unknown,W,23,2,
1909,5,October 30,Arkansas,The Hill,unknown,L,6,21,
1909,6,November 5,,Boyd Field,unknown,W,42,8,
1909,7,November 13,Saint Louis,League Park,unknown,W,11,5,
1909,8,November 17,Texas A&M,Gaston Park,unknown,L,5,14,
1909,9,November 19,Texas,Clark Field,unknown,L,0,30,
1909,10,November 29,,Delmar Field,unknown,W,12,11,
1910,1,October 7,,"Kingfisher, OK",unknown,W,66,0,
1910,2,October 14,,"Edmond, OK",unknown,W,79,0,
1910,3,October 21,Oklahoma A&M,Boyd Field,unknown,W,12,0,
1910,4,October 28,Missouri,Boyd Field,unknown,L,0,26,
1910,5,November 12,Kansas,Boyd Field,unknown,L,0,2,
1910,6,November 24,Texas,Clark Field,unknown,W,3,0,
1910,7,December 2,,"Norman, OK",home,T,3,3,
1911,1,October 7,,Boyd Field,unknown,W,104,0,
1911,2,October 14,,Boyd Field,unknown,W,62,0,
1911,3,October 20,Oklahoma A&M,"Stillwater, OK",unknown,W,22,0,
1911,4,October 27,,Boyd Field,unknown,W,37,0,
1911,5,November 4,Missouri,Rollins Field,unknown,W,14,6,
1911,6,November 11,Kansas,McCook Field,unknown,W,3,0,
1911,7,November 22,,Boyd Field,unknown,W,34,6,
1911,8,November 30,Texas,Clark Field,unknown,W,6,3,
1912,1,October 5,,"Kingfisher, OK",unknown,W,40,0,
1912,2,October 11,,Boyd Field,unknown,W,87,0,
1912,3,October 19,Texas,Gaston Field,unknown,W,21,6,
1912,4,October 25,Missouri,Boyd Field,unknown,L,0,14,
1912,5,November 2,Kansas,McCook Field,unknown,W,6,5,
1912,6,November 11,Texas A&M,"Houston, TX",unknown,L,6,28,
1912,7,November 16,Oklahoma A&M,Boyd Field,unknown,W,16,0,
1912,8,November 23,Nebraska,Nebraska Field,unknown,L,9,13,
1912,9,November 28,Colorado,Broadway Park,unknown,L,12,14,
1913,1,September 27,,Boyd Field,unknown,W,74,0,
1913,2,October 4,,"Edmond, OK",unknown,W,83,0,
1913,3,October 11,,Boyd Field,unknown,W,101,0,
1913,4,October 18,Missouri,Rollins Field,unknown,L,17,20,
1913,5,November 1,Kansas,Boyd Field,unknown,W,21,7,
1913,6,November 10,Texas,West End Park,unknown,L,6,14,
1913,7,November 21,Oklahoma A&M,"Stillwater, OK",unknown,W,7,0,
1913,8,November 27,Colorado,Boyd Field,unknown,W,14,3,
1914,1,September 26,,Boyd Field,unknown,W,67,0,
1914,2,October 3,,"Kingfisher, OK",unknown,W,63,0,
1914,3,October 9,,Boyd Field,unknown,W,96,6,
1914,4,October 17,Missouri,Boyd Field,unknown,W,13,0,
1914,5,October 24,Texas,Fair Park Stadium,unknown,L,7,32,
1914,6,October 31,Kansas,McCook Field,unknown,T,16,16,
1914,7,November 6,Oklahoma A&M,Boyd Field,unknown,W,28,6,
1914,8,November 13,Kansas State,Ahearn Field,unknown,W,52,10,
1914,9,November 21,Arkansas,Fair Park,unknown,W,35,7,
1914,10,November 26,Haskell,Association Park,unknown,W,33,12,
1914,11,November 30,Kendall,"Tulsa, OK",unknown,W,26,7,
1915,1,September 25,,Boyd Field,unknown,W,67,0,
1915,2,October 2,,"Weatherford, OK",unknown,W,55,0,
1915,3,October 9,,Boyd Field,unknown,W,102,0,
1915,4,October 16,Missouri,Rollins Field,unknown,W,24,0,
1915,5,October 23,Texas,Fair Park Stadium,unknown,W,14,13,
1915,6,October 30,Kansas,Boyd Field,unknown,W,23,14,
1915,7,November 6,Kendall,Association Park,unknown,W,14,13,
1915,8,November 13,Arkansas,The Hill,unknown,W,23,0,
1915,9,November 19,Kansas State,Ahearn Field,unknown,W,21,7,
1915,10,November 25,Oklahoma A&M,"Oklahoma City, OK",unknown,W,26,7,
1916,1,September 23,,Fair Park,unknown,W,27,0,
1916,2,September 30,Oklahoma Catholic,Boyd Field,unknown,W,107,0,
1916,3,October 7,,Boyd Field,unknown,W,140,0,
1916,4,October 14,Kendall,Boyd Field,unknown,L,0,16,
1916,5,October 21,Texas,Fair Park Stadium,unknown,L,7,21,
1916,6,October 28,Missouri,Boyd Field,unknown,L,14,23,
1916,7,November 4,Kansas,McCook Field,unknown,L,13,21,
1916,8,November 11,,Boyd Field,unknown,W,96,0,
1916,9,November 18,Kansas State,Boyd Field,unknown,L,13,14,
1916,10,November 25,Arkansas,Municipal Stadium,unknown,W,14,13,
1916,11,November 30,Oklahoma A&M,Fair Park,unknown,W,41,7,
1917,1,September 22,,Fair Park,unknown,W,99,0,
1917,2,September 29,,Boyd Field,unknown,W,179,0,
1917,3,October 6,,Boyd Field,unknown,W,52,9,
1917,4,October 13,Illinois,Illinois Field,unknown,L,0,44,
1917,5,October 20,Texas,Fair Park Stadium,unknown,W,14,0,
1917,6,November 3,Missouri,Rollins Field,unknown,W,14,7,
1917,7,November 10,Kansas,Boyd Field,unknown,L,6,13,
1917,8,November 17,Arkansas,Municipal Stadium,unknown,T,0,0,
1917,9,November 24,Kendall,Boyd Field,unknown,W,80,0,
1917,10,November 29,Oklahoma A&M,Fair Park,unknown,L,0,9,
1917,11,December 15,Camp Doniphan,Fair Park,unknown,L,7,21,
1918,1,October 19,,Boyd Field,unknown,W,44,0,
1918,2,November 2,Post Field,Boyd Field,unknown,W,58,0,
1918,3,November 9,Kansas,McCook Field,unknown,W,33,0,
1918,4,November 16,Arkansas,Boyd Field,unknown,W,103,0,
1918,5,November 23,,Alton Field,unknown,W,13,7,
1918,6,November 28,Oklahoma A&M,Fair Park,unknown,W,27,0,
1919,1,September 27,,Boyd Field,unknown,W,40,0,
1919,2,October 4,,Boyd Field,unknown,W,157,0,
1919,3,October 11,Kendall,Boyd Field,unknown,L,0,27,
1919,4,October 18,Texas,Fair Park Stadium,unknown,W,12,7,
1919,5,October 25,Nebraska,Rourke Park,unknown,T,7,7,
1919,6,November 1,Missouri,Boyd Field,unknown,T,6,6,
1919,7,November 8,Kansas,McCook Field,unknown,T,0,0,
1919,8,November 15,Arkansas,The Hill,unknown,L,6,7,
1919,9,November 22,Kansas State,Ahearn Field,unknown,W,14,3,
1919,10,November 27,Oklahoma A&M,Western League Park,unknown,W,33,6,
1920,1,October 9,,Boyd Field,unknown,W,16,7,
1920,2,October 23,Washington University,Francis Field,unknown,W,24,14,
1920,3,October 30,Missouri,Rollins Field,unknown,W,28,7,
1920,4,November 6,Kansas,Boyd Field,unknown,W,21,9,
1920,5,November 13,Oklahoma A&M,Lewis Field,unknown,W,36,0,
1920,6,November 19,Kansas State,Ahearn Field,unknown,T,7,7,
1920,7,November 25,Drake,Boyd Field,unknown,W,44,7,
1921,1,October 8,,"Edmond, OK",unknown,W,21,0,
1921,2,October 15,Oklahoma A&M,Boyd Field,unknown,W,6,0,
1921,3,October 22,Washington University,Boyd Field,unknown,W,28,13,
1921,4,October 29,Nebraska,Nebraska Field,unknown,L,0,44,
1921,5,November 5,Kansas,Boyd Field,unknown,W,24,7,
1921,6,November 12,Missouri,Rollins Field,unknown,L,14,24,
1921,7,November 19,Kansas State,Ahearn Field,unknown,L,7,14,
1921,8,November 24,Rice,Rice Field,unknown,W,27,0,
1922,1,October 14,,Boyd Field,unknown,W,21,0,
1922,2,October 21,Kansas State,Boyd Field,unknown,T,7,7,
1922,3,October 28,Nebraska,Boyd Field,unknown,L,7,39,
1922,4,November 4,Kansas,Memorial Stadium,home,L,3,19,
1922,5,November 11,Missouri,Boyd Field,unknown,W,18,14,
1922,6,November 18,Texas,Boyd Field,unknown,L,7,32,
1922,7,November 25,Oklahoma A&M,Lewis Field,unknown,T,3,3,
1922,8,November 30,Washington University,Francis Field,unknown,T,0,0,
1923,1,October 13,Nebraska,Memorial Stadium,home,L,0,24,
1923,2,October 20,Washington University,Owen Field,home,W,62,7,
1923,3,October 27,Oklahoma A&M,Owen Field,home,W,12,0,
1923,4,November 3,Kansas,Owen Field,home,L,3,7,
1923,5,November 10,Missouri,Rollins Field,unknown,W,13,0,
1923,6,November 17,Texas,Clark Field,unknown,L,14,26,
1923,7,November 24,Kansas State,Memorial Stadium,home,L,20,21,
1923,8,November 29,Drake,Owen Field,home,L,20,26,
1924,1,October 4,,Owen Field,home,L,0,2,
1924,2,October 11,Nebraska,Owen Field,home,W,14,7,
1924,3,October 25,Drake,Drake Stadium,unknown,L,0,28,
1924,4,November 1,Oklahoma A&M,Lewis Field,unknown,L,0,6,
1924,5,November 8,Missouri,Owen Field,home,L,0,10,
1924,6,November 15,Kansas,Memorial Stadium,home,L,0,20,
1924,7,November 22,Washington University,Francis Field,unknown,W,7,0,
1924,8,November 26,Kansas State,Owen Field,home,T,7,7,
1925,1,October 3,Kansas State,Memorial Stadium,home,L,0,16,
1925,2,October 17,Drake,Oklahoma Memorial Stadium,home,W,7,0,
1925,3,October 24,SMU,Fair Park Stadium,unknown,W,9,0,
1925,4,October 31,Nebraska,Memorial Stadium,home,L,0,12,
1925,5,November 7,Kansas,Oklahoma Memorial Stadium,home,T,0,0,
1925,6,November 14,Missouri,Rollins Field,unknown,L,14,16,
1925,7,November 21,Washington University,Oklahoma Memorial Stadium,home,W,28,0,
1925,8,November 26,Oklahoma A&M,Oklahoma Memorial Stadium,home,W,35,0,
1926,1,October 9,Arkansas,Memorial Stadium,home,W,13,6,
1926,2,October 16,Drake,Drake Stadium,unknown,W,11,0,
1926,3,October 23,Kansas State,Memorial Stadium,home,L,12,15,
1926,4,October 30,Washington University,Francis Field,unknown,W,21,0,
1926,5,November 6,Missouri,Memorial Stadium,home,W,10,7,
1926,6,November 13,Kansas,Memorial Stadium,home,L,9,10,
1926,7,November 20,Saint Louis,Memorial Stadium,home,W,47,0,
1926,8,November 25,Oklahoma A&M,Lewis Field,unknown,T,14,14,
1927,1,October 8,Chicago,Stagg Field,unknown,W,13,7,
1927,2,October 15,Creighton,Memorial Stadium,home,T,13,13,
1927,3,October 22,Kansas State,Memorial Stadium,home,L,14,20,
1927,4,October 29,,"Edmond, OK",unknown,T,14,14,
1927,5,November 5,Washington University,Memorial Stadium,home,W,23,7,
1927,6,November 12,Kansas,Memorial Stadium,home,W,26,7,
1927,7,November 19,Oklahoma A&M,Memorial Stadium,home,L,7,13,
1927,8,November 24,Missouri,Memorial Stadium,home,L,7,20,
1928,1,October 6,Indiana,Memorial Stadium,home,L,7,10,
1928,2,October 13,Creighton,Memorial Stadium,home,W,7,0,
1928,3,October 27,Kansas State,Memorial Stadium,home,W,33,21,
1928,4,November 3,Iowa State,State Field,unknown,L,0,13,
1928,5,November 10,Nebraska,Memorial Stadium,home,L,6,44,
1928,6,November 17,Kansas,Memorial Stadium,home,W,7,0,
1928,7,November 24,Oklahoma A&M,Lewis Field,unknown,W,46,0,
1928,8,November 29,Missouri,Memorial Stadium,home,W,13,0,
1929,1,October 12,,Owen Field,home,W,26,0,
1929,2,October 19,Texas,Fair Park Stadium,unknown,L,0,21,
1929,3,October 26,Kansas State,Memorial Stadium,home,W,14,13,
1929,4,November 2,Iowa State,Memorial Stadium,home,W,21,7,
1929,5,November 9,Kansas,Memorial Stadium,home,L,0,7,
1929,6,November 16,Nebraska,Memorial Stadium,home,T,13,13,
1929,7,November 23,Oklahoma A&M,Memorial Stadium,home,T,7,7,
1929,8,November 28,Missouri,Memorial Stadium,home,L,0,13,
1930,1,October 4,New Mexico,Memorial Stadium,home,W,47,0,
1930,2,October 11,Nebraska,Memorial Stadium,home,W,20,7,
1930,3,October 18,Texas,Fair Park Stadium,unknown,L,7,17,
1930,4,October 25,Kansas State,Memorial Stadium,home,W,7,0,
1930,5,November 1,Iowa State,State Field,unknown,W,19,13,
1930,6,November 15,Kansas,Memorial Stadium,home,L,0,13,
1930,7,November 22,Oklahoma A&M,Lewis Field,unknown,L,0,7,
1930,8,November 27,Missouri,Memorial Stadium,home,T,0,0,
1931,1,October 3,Rice,Memorial Stadium,home,W,19,6,
1931,2,October 10,Nebraska,Memorial Stadium,home,L,0,13,
1931,3,October 17,Texas,Fair Park Stadium,unknown,L,0,3,
1931,4,October 24,Kansas State,Memorial Stadium,home,L,0,14,
1931,5,October 31,Iowa State,Memorial Stadium,home,L,12,13,
1931,6,November 7,Kansas,Memorial Stadium,home,W,10,0,
1931,7,November 14,Missouri,Memorial Stadium,home,L,0,7,
1931,8,November 26,Oklahoma A&M,Memorial Stadium,home,T,0,0,
1931,9,December 5,Oklahoma City,Goldbug Field,unknown,L,0,6,
1931,10,December 12,Tulsa,Skelly Field,unknown,W,20,7,
1931,11,December 25,Honolulu Town Stars,Honolulu Stadium,unknown,L,20,39,
1931,12,"January 1, 1932",Hawaii,Honolulu Stadium,unknown,W,7,0,
1932,1,October 1,Tulsa,Memorial Stadium,home,W,7,0,
1932,2,October 8,Kansas,Memorial Stadium,home,W,21,6,
1932,3,October 15,Texas,Fair Park Stadium,unknown,L,10,17,
1932,4,October 22,Kansas State,Memorial Stadium,home,W,20,13,
1932,5,October 29,Oklahoma A&M,Lewis Field,unknown,L,0,7,
1932,6,November 5,Missouri,Memorial Stadium,home,L,6,14,
1932,7,November 12,Iowa State,State Field,unknown,W,19,13,
1932,8,November 19,Nebraska,Memorial Stadium,home,L,0,5,
1932,9,November 24,George Washington,Griffith Stadium,unknown,T,7,7,
1933,1,September 30,Vanderbilt,Memorial Stadium,home,T,0,0,
1933,2,October 7,Tulsa,Skelly Field,unknown,L,6,20,
1933,3,October 14,Texas,Fair Park Stadium,unknown,W,9,0,
1933,4,October 21,Iowa State,Memorial Stadium,home,W,19,7,
1933,5,October 28,Nebraska,Memorial Stadium,home,L,7,16,
1933,6,November 4,Kansas,Memorial Stadium,home,W,20,0,
1933,7,November 11,Missouri,Memorial Stadium,home,W,21,0,
1933,8,November 18,Kansas State,Memorial Stadium,home,L,0,14,
1933,9,November 23,Oklahoma A&M,Memorial Stadium,home,L,0,13,
1934,1,October 6,Centenary,Memorial Stadium,home,W,7,0,
1934,2,October 13,Texas,Fair Park Stadium,unknown,L,0,19,
1934,3,October 20,Nebraska,Memorial Stadium,home,L,0,6,
1934,4,October 27,Kansas,Memorial Stadium,home,T,7,7,
1934,5,November 3,Missouri,Memorial Stadium,home,W,31,0,
1934,6,November 10,Iowa State,Clyde Williams Field,unknown,W,12,0,
1934,7,November 17,Kansas State,Memorial Stadium,home,L,7,8,
1934,8,November 22,Oklahoma A&M,Lewis Field,unknown,T,0,0,
1934,9,November 29,George Washington,Griffith Stadium,unknown,L,0,3,
1935,1,September 28,Colorado,Memorial Stadium,home,W,3,0,
1935,2,October 5,New Mexico,Memorial Stadium,home,W,25,0,
1935,3,October 12,Texas,Fair Park Stadium,unknown,L,7,12,
1935,4,October 19,Iowa State,Memorial Stadium,home,W,16,0,
1935,5,October 26,Nebraska,Memorial Stadium,home,L,0,19,
1935,6,November 2,Kansas,Memorial Stadium,home,L,0,7,
1935,7,November 9,Missouri,Memorial Stadium,home,W,20,6,
1935,8,November 16,Kansas State,Memorial Stadium,home,W,3,0,
1935,9,November 28,Oklahoma A&M,Memorial Stadium,home,W,25,0,
1936,1,September 26,Tulsa,Memorial Stadium,home,T,0,0,
1936,2,October 3,Colorado,Folsom Field,unknown,W,8,0,
1936,3,October 10,Texas,Fair Park Stadium,unknown,L,0,6,
1936,4,October 17,Kansas,Memorial Stadium,home,W,14,0,
1936,5,October 24,Nebraska,Memorial Stadium,home,L,0,14,
1936,6,October 31,Iowa State,State Field,unknown,T,7,7,
1936,7,November 7,Kansas State,Memorial Stadium,home,T,6,6,
1936,8,November 14,Missouri,Memorial Stadium,home,L,14,21,
1936,9,November 26,Oklahoma A&M,Lewis Field,unknown,W,35,13,
1937,1,September 25,Tulsa,Skelly Field,unknown,L,7,19,
1937,2,October 2,Rice,Memorial Stadium,home,W,6,0,
1937,3,October 9,Texas,Cotton Bowl,neutral,T,7,7,
1937,4,October 16,Nebraska,Memorial Stadium,home,T,0,0,
1937,5,October 23,Kansas,Owen Field,home,L,3,6,
1937,6,October 30,Kansas State,Memorial Stadium,home,W,19,0,
1937,7,November 6,Iowa State,Memorial Stadium,home,W,33,7,
1937,8,November 13,Missouri,Memorial Stadium,home,W,7,0,
1937,9,November 20,Oklahoma A&M,Memorial Stadium,home,W,16,0,
1938,1,October 1,Rice,Rice Field,unknown,W,7,6,
1938,2,October 8,Texas,Cotton Bowl,neutral,W,13,0,
1938,3,October 15,Kansas,Memorial Stadium,home,W,19,0,
1938,4,October 22,Nebraska,Memorial Stadium,home,W,14,0,
1938,5,October 29,Tulsa,Memorial Stadium,home,W,28,6,
1938,6,November 5,Kansas State,Memorial Stadium,home,W,26,0,
1938,7,November 12,Missouri,Memorial Stadium,home,W,21,0,
1938,8,November 19,Iowa State,Clyde Williams Stadium,unknown,W,10,0,
1938,9,November 26,Oklahoma A&M,Lewis Field,unknown,W,19,0,
1938,10,December 3,Washington State,Memorial Stadium,home,W,28,0,
1938,11,"January 2, 1939",Tennessee,Burdine Stadium,unknown,L,0,17,
1939,1,September 30,SMU,Oklahoma Memorial Stadium,home,T,7,7,
1939,2,October 7,Northwestern,Dyche Stadium,unknown,W,23,0,
